Gliders,Duration,Flights
airea tension,1.13,3
akro,0.05,1
artic niviuk,1.17,1
atlas,0.28,14
avaxsr7,62.22,30
bommerang,156.45,93
cirrus,1,2
cult,1.63,2
divine,2.75,3
domino in dhv 2 gradient,0.5,1
eden,9.47,9
l13,28.97,27
l23,27.27,55
magus,287.05,153
magus novi proto,2.17,3
neon sector,0.13,1
neon/divine,0.17,2
nimbus,222.82,173
nupce,0.63,3
p6c,1.43,1
rox,147.48,147
sektor,3.67,2
solski,0.3,1
sonic,8.82,35
soul,0.63,2
stratus,202.02,172
stratus 2,133.63,59
stream,2.67,5
tamoj,0.08,1
tandem,129.7,257
tandem zmaj,0.25,1
ventus2,0.03,1
wind,55.28,100
xxx,0.17,1
yeti,1.6,5
